Your starting parameters:
Height: 66.0 feet
Starting velocity: 321.0 ft/sec
Time           Actual Height  Total Distance 
0              66.0           66.0           
1              371.0          371.0          
2              644.0          644.0          
3              885.0          885.0          
4              1094.0         1094.0         
5              1271.0         1271.0         
6              1416.0         1416.0         
7              1529.0         1529.0         
8              1610.0         1610.0         
9              1659.0         1659.0         
10             1676.0         1676.0         
10.4           1742.0         1742.0         
11.4           1710.0         1774.0         
12.4           1614.0         1870.0         
13.4           1454.0         2030.0         
14.4           1230.0         2254.0         
15.4           942.0          2542.0         
16.4           590.0          2894.0         
17.4           174.0          3310.0         
Total time: 17.834 seconds, Apex: 1742.0 feet, Total distance traveled: 3484.0 feet
